License Number,Business Name,DBA/Trade Name,business_id,Business Category,License Type,License Status,Initial Issuance Date,Expiration Date,license_city,license_state,license_zip,complaint_id,created_date,closed_date,complaint_type,descriptor,incident_address,incident_zip,complaint_address_type,status,resolution_description,complaint_count,eviction_count
2096413-DCA,514 MY DELI & GROCERY INC,HUDSON GROCERY & DELI,BA-1081314-2022,Stoop Line Stand,Premises,Active,09/15/2020,03/31/2026,NEW YORK,NY,10014,64567612,2025-04-05T21:29:00.000,2025-04-09T02:15:00.000,Noise,Noise: Construction Equipment (NC1),514 HUDSON STREET,10014,ADDRESS,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",5,1
2046582-DCA,"AT&T MOBILITY SUPPLY, LLC",AT&T MOBILITY,BA-1081435-2022,Electronics Store,Premises,Active,12/19/2016,12/31/2026,NEW YORK,NY,10005,64299641,2025-03-09T20:38:00.000,2025-03-10T14:07:00.000,Lead,Lead Kit Request (Residential) (L10),45 WALL STREET,10005,ADDRESS,Closed,The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use the included pre-paid label to mail the sample to the lab for analysis. It may take the lab up to 30 days to complete their analysis and mail you the test results. This Service Request is closed and no further status will be available from 311.,5,2
1212169-DCA,APPLE INC,,BA-1081539-2022,Electronics Store,Premises,Active,10/11/2005,12/31/2026,STATEN ISLAND,NY,10304,64228488,2025-03-01T06:21:41.000,2025-04-07T02:22:23.000,Graffiti,Graffiti,2655 RICHMOND AVENUE,10314,ADDRESS,Closed,,14,0
2097518-DCA,3023 Wireless Inc,,BA-1081544-2022,Electronics Store,Premises,Active,01/15/2021,12/31/2026,BRONX,NY,10455,64197220,2025-02-26T07:05:12.000,2025-02-27T15:18:34.000,APPLIANCE,ELECTRIC/GAS RANGE,3023 3 AVENUE,10455,ADDRESS,Closed,HPD conducted an inspection of this complaint. The conditions observed by the inspector did not violate the housing laws enforced by HPD. The complaint has been closed.,50,0
2107004-DCA,AAA PRO CONSTRUCTION INC,,BA-1084585-2022,Home Improvement Contractor,Premises,Expired,06/24/2022,02/28/2023,BROOKLYN,NY,11230,,,,,,,,,,,0,2
2060566-DCA,56 LEONARD GARAGE LLC,,BA-1084638-2022,Garage & Parking Lot,Premises,Active,11/09/2017,03/31/2027,NEW YORK,NY,10013,64334485,2025-03-12T16:51:51.000,2025-03-13T00:00:00.000,Building/Use,Illegal. Commercial Use In Resident Zone,56 LEONARD STREET,10013,ADDRESS,Closed,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",3,0
2103777-DCA,Bota Construction Corp,,BA-1084680-2022,Home Improvement Contractor,Premises,Active,02/04/2022,02/28/2027,BROOKLYN,NY,11218,64355070,2025-03-15T00:27:16.000,2025-03-15T04:12:20.000,Illegal Parking,Blocked Hydrant,33 CATON PLACE,11218,ADDRESS,Closed,The Police Department issued a summons in response to the complaint.,3,0
1218382-DCA,444 MANHATTAN PARKING CORP.,,BA-1086410-2022,Garage & Parking Lot,Premises,Active,01/30/2006,03/31/2027,NEW YORK,NY,10026,64233843,2025-03-02T22:20:02.000,2025-03-03T01:51:08.000,Noise - Residential,Loud Music/Party,444 MANHATTAN AVENUE,10026,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,8,1
2102857-DCA,900 PARK GARAGE LLC,,BA-1086425-2022,Garage & Parking Lot,Premises,Active,11/30/2021,03/31/2027,NEW YORK,NY,10075,64303211,2025-03-09T15:42:00.000,2025-03-09T22:22:21.000,Illegal Parking,Parking Permit Improper Use,900 PARK AVENUE,10075,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,1,1
2072931-1-DCA,101 SMOKE SHOP CORP.,,BA-1086492-2022,Electronic Cigarette Dealer,Premises,Expired,06/08/2018,11/30/2023,NEW YORK,NY,10025,64198768,2025-02-26T10:47:00.000,2025-02-26T15:30:00.000,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),2660 BROADWAY,10025,ADDRESS,Closed,"The Department of Environmental Protection inspected your complaint and cleaned the catch basin or inlet. If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",6,0
2087759-DCA,132 EAST 35TH STREET GARAGE LLC,,BA-1086811-2022,Garage & Parking Lot,Premises,Active,06/28/2019,03/31/2027,NEW YORK,NY,10016,64198156,2025-02-26T05:54:39.000,2025-03-01T21:41:39.000,Residential Disposal Complaint,Trash or Recycling Not Secure,132 EAST   35 STREET,11203,ADDRESS,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,6,0
2036710-1-DCA,3055 WESTCHESTER PETROLEUM LLC,,BA-1086816-2022,Tobacco Retail Dealer,Premises,Active,04/28/2016,12/31/2025,BRONX,NY,10461,64324986,2025-03-11T07:39:29.000,2025-03-11T22:08:10.000,Illegal Parking,Posted Parking Sign Violation,3055 WESTCHESTER AVENUE,10461,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4,0
2095923-DCA,126 WEST 32ND STREET GARAGE LLC,,BA-1087096-2022,Garage & Parking Lot,Premises,Active,07/06/2020,03/31/2027,NEW YORK,NY,10001,64289961,2025-03-08T19:54:45.000,2025-03-28T07:07:07.000,Encampment,,125 WEST   31 STREET,10001,ADDRESS,Closed,The Department of Homeless Services (DHS) visited the location and is coordinating with their agency partners to address the condition. No further information will be available with 311.,4,0
2087951-DCA,BROOKLYN NYC VINTAGE LLC,,BA-1087750-2022,Secondhand Dealer - General,Premises,Ready for Renewal,07/03/2019,07/31/2025,BROOKLYN,NY,11237,64257143,2025-03-04T10:31:21.000,,PAINT/PLASTER,WALL,194 IRVING AVENUE,11237,ADDRESS,Open,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,4,0
2098166-DCA,BASH CONSTRUCTION INC.,,BA-1087813-2022,Home Improvement Contractor,Premises,Expired,03/24/2021,02/28/2023,BRONX,NY,10469,,,,,,,,,,,0,1
2059578-DCA,375 HUD PARKING LLC,,BA-1088089-2022,Garage & Parking Lot,Premises,Voided,10/19/2017,03/31/2025,NEW YORK,NY,10013,64197445,2025-02-26T07:49:23.000,2025-02-26T08:15:39.000,Homeless Person Assistance,,375 HUDSON STREET,10014,ADDRESS,Closed,"Based on the information you provided, the Department of Homeless Services has referred this request to the New York City Police Department.",5,0
2100121-DCA,BOERUM PLACE GARAGE LLC,,BA-1088185-2022,Garage & Parking Lot,Premises,Active,07/14/2021,03/31/2027,BROOKLYN,NY,11201,64442486,2025-03-23T14:20:33.000,2025-04-09T22:12:47.000,UNSANITARY CONDITION,SEWAGE,205 STATE STREET,11201,ADDRESS,Closed,HPD conducted an inspection of this complaint. The conditions observed by the inspector did not violate the housing laws enforced by HPD. The complaint has been closed.,7,0
2094469-DCA,ALB TECH CONTRUCTION INC,,BA-1088412-2022,Home Improvement Contractor,Premises,Expired,02/13/2020,02/28/2023,BROOKLYN,NY,11204,64387054,2025-03-17T15:42:05.000,2025-03-17T22:31:50.000,Illegal Parking,Double Parked Blocking Vehicle,105 AVENUE P,11204,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1,1
2013817-1-DCA,2913 TILDEN DELI GROCERY CORP.,,BA-1088426-2022,Tobacco Retail Dealer,Premises,Expired,09/24/2014,12/31/2023,BROOKLYN,NY,11226,64341255,2025-03-13T12:12:36.000,2025-04-05T22:04:10.000,DOOR/WINDOW,DOOR,2913 TILDEN AVENUE,11226,ADDRESS,Closed,"HPD inspected this condition so the complaint has been closed. Violations were issued. The law provides the property owner time to correct the condition(s).  Violation descriptions and the dates for the property owner to correct any violations are available at HPDONLINE.  If the owner has not corrected the condition by the date provided, you may wish to bring a case in housing court seeking the correction of these conditions.To find out more about how to start a housing court case, visit HPD's w",13,0
2085711-DCA,254 BROOME LLC,,BA-1089010-2022,Stoop Line Stand,Premises,Expired,05/09/2019,03/31/2024,NEW YORK,NY,10002,64626254,2025-04-11T16:51:45.000,2025-04-15T12:32:14.000,HEAT/HOT WATER,ENTIRE BUILDING,254 BROOME STREET,10002,ADDRESS,Closed,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",6,0
2039043-1-DCA,59-5 FRUIT & VEGETABLE CORP,MERCI MARKET,BA-1089736-2022,Tobacco Retail Dealer,Premises,Active,06/14/2016,12/31/2025,NEW YORK,NY,10003,64555351,2025-04-04T10:39:38.000,,DOOR/WINDOW,DOOR,59 5 AVENUE,10003,ADDRESS,Open,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,3,0
1314281-DCA,396 DELI GROCERY INC.,,BA-1089859-2022,Tobacco Retail Dealer,Premises,Revoked,04/15/2009,12/31/2025,BROOKLYN,NY,11215,64226641,2025-03-01T20:56:37.000,2025-03-01T20:58:25.000,Vendor Enforcement,Food Vendor,396 7 AVENUE,10121,ADDRESS,Closed,,3,0
1377038-DCA,AVALON PHARMACY INC.,AVALON CHEMISTS,BA-1090144-2022,Dealer In Products For The Disabled,Premises,Active,11/16/2010,03/15/2027,NEW YORK,NY,10003,64312706,2025-03-10T12:14:58.000,2025-03-11T15:03:58.000,Street Condition,Defective Hardware,7 2 AVENUE,10003,ADDRESS,Closed,"The Department of Transportation inspected the condition and issued a Corrective Action Repair (CAR) to the contractor or utility company. The responsible party has a maximum of 30 days to correct the condition. If the condition still exists, a summons will be issued. In some cases, the Department of Transportation will make the repairs and charge the responsible party for the costs.",3,0
2053762-DCA,A.R. BROTHERS CONSTRUCTION CORPORATION,,BA-1090685-2022,Home Improvement Contractor,Premises,Active,06/01/2017,02/28/2027,HASTINGS ON HUDSON,NY,10706,,,,,,,,,,,0,2
2124237-DCWP,CO-OP CITY PHARMACY INC.,,BA-1091013-2022,Dealer In Products For The Disabled,Premises,Active,09/12/2024,03/15/2027,BRONX,NY,10475,,,,,,,,,,,0,1
2050504-2-DCA,401 KCBS CORP,BREAD & BUTTER,BA-1091755-2022,Tobacco Retail Dealer,Premises,Active,04/03/2017,12/31/2026,MANHATTAN,NY,10016,64278687,2025-03-06T10:11:00.000,2025-03-07T11:10:00.000,Noise,Noise: Construction Equipment (NC1),401 EAST   34 STREET,10016,ADDRESS,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",5,0
2057678-2-DCA,156 GOURMET DELI CORP,,BA-1091774-2022,Tobacco Retail Dealer,Premises,Expired,08/30/2017,12/31/2022,BRONX,NY,10455,64396695,2025-03-18T16:34:48.000,2025-03-25T21:02:31.000,PAINT/PLASTER,CEILING,809 EAST  156 STREET,10455,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,7,0
1126345-DCA,79TH STREET REALTY LLC,,BA-1091778-2022,Garage & Parking Lot,Premises,Active,11/07/2002,03/31/2027,NEW YORK,NY,10075,64475348,2025-03-27T17:45:11.000,2025-03-27T22:09:51.000,Illegal Parking,License Plate Obscured,350 EAST   79 STREET,10075,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,4,0
2012290-DCA,4 CONSTRUCTION CORP.,,BA-1091788-2022,Home Improvement Contractor,Premises,Expired,08/21/2014,02/28/2023,BRONX,NY,10459,,,,,,,,,,,0,2
